detector_name,detector_id,x_offset,y_offset,x_pixels,y_pixels,detector_type,physical_type,serial
R10_S11,31,-254.0,-127.0,0.01,0.01,0,ITL,ITL-3800C-350
R10_S12,32,-211.75,-127.0,0.01,0.01,0,ITL,ITL-3800C-438
R10_S20,33,-296.25,-84.75,0.01,0.01,0,ITL,ITL-3800C-377
R10_S21,34,-254.0,-84.75,0.01,0.01,0,ITL,ITL-3800C-446
R10_S22,35,-211.75,-84.75,0.01,0.01,0,ITL,ITL-3800C-207
R11_S00,36,-169.25,-169.25,0.01,0.01,0,E2V,E2V-CCD250-319
R11_S01,37,-127.0,-169.25,0.01,0.01,0,E2V,E2V-CCD250-321
R11_S02,38,-84.75,-169.25,0.01,0.01,0,E2V,E2V-CCD250-359
R11_S10,39,-169.25,-127.0,0.01,0.01,0,E2V,E2V-CCD250-364
R11_S11,40,-127.0,-127.0,0.01,0.01,0,E2V,E2V-CCD250-357
R11_S12,41,-84.75,-127.0,0.01,0.01,0,E2V,E2V-CCD250-363
R11_S20,42,-169.25,-84.75,0.01,0.01,0,E2V,E2V-CCD250-350
R11_S21,43,-127.0,-84.75,0.01,0.01,0,E2V,E2V-CCD250-365
R11_S22,44,-84.75,-84.75,0.01,0.01,0,E2V,E2V-CCD250-361
R12_S00,45,-42.25,-169.25,0.01,0.01,0,E2V,E2V-CCD250-136
R12_S01,46,0.0,-169.25,0.01,0.01,0,E2V,E2V-CCD250-267
R12_S02,47,42.25,-169.25,0.01,0.01,0,E2V,E2V-CCD250-196
R12_S10,48,-42.25,-127.0,0.01,0.01,0,E2V,E2V-CCD250-244
R12_S11,49,0.0,-127.0,0.01,0.01,0,E2V,E2V-CCD250-269
R12_S12,50,42.25,-127.0,0.01,0.01,0,E2V,E2V-CCD250-270
R12_S20,51,-42.25,-84.75,0.01,0.01,0,E2V,E2V-CCD250-284
R12_S21,52,0.0,-84.75,0.01,0.01,0,E2V,E2V-CCD250-287
R12_S22,53,42.25,-84.75,0.01,0.01,0,E2V,E2V-CCD250-265
R13_S00,54,84.75,-169.25,0.01,0.01,0,E2V,E2V-CCD250-322
R13_S01,55,127.0,-169.25,0.01,0.01,0,E2V,E2V-CCD250-331
R13_S02,56,169.25,-169.25,0.01,0.01,0,E2V,E2V-CCD250-334
R13_S10,57,84.75,-127.0,0.01,0.01,0,E2V,E2V-CCD250-349
