energy_mev,dedx_mev_per_g_cm2
2.081708942070104e+00,1.646538201888793e+00
2.130198172388519e+00,1.650825047314214e+00
2.179816861974440e+00,1.655224542172293e+00
2.230591319313867e+00,1.659735543662421e+00
2.282548465696161e+00,1.664356967662148e+00
2.335715849488068e+00,1.669087788959547e+00
2.390121660740228e+00,1.673927041484455e+00
2.445794746133912e+00,1.678873818538590e+00
2.502764624275917e+00,1.683927273024688e+00
2.561061501349719e+00,1.689086617674800e+00
2.620716287131194e+00,1.694351125278007e+00
2.681760611377385e+00,1.699720128907847e+00
2.744226840597028e+00,1.705193022149824e+00
2.808148095211692e+00,1.710769259329421e+00
2.873558267116670e+00,1.716448355741093e+00
2.940492037650915e+00,1.722229887878785e+00
3.008984895985535e+00,1.728113493668549e+00
3.079073157940630e+00,1.734098872703902e+00
3.150793985240417e+00,1.740185786484594e+00
3.224185405216867e+00,1.746374058659523e+00
3.299286330972302e+00,1.752663575274531e+00
3.376136582011636e+00,1.759054285025909e+00
3.454776905355203e+00,1.765546199520414e+00
3.535248997143368e+00,1.772139393542677e+00
3.617595524744370e+00,1.778834005330876e+00
3.701860149377130e+00,1.785630236861603e+00
3.788087549261001e+00,1.792528354144851e+00
3.876323443304756e+00,1.799528687530078e+00
3.966614615347358e+00,1.806631632024334e+00
4.059008938963368e+00,1.813837647623421e+00
4.153555402846152e+00,1.821147259657113e+00
4.250304136782330e+00,1.828561059149423e+00
4.349306438231256e+00,1.836079703194974e+00
4.450614799523609e+00,1.843703915352466e+00
4.554282935693521e+00,1.851434486056309e+00
4.660365812958998e+00,1.859272273047445e+00
4.768919677865740e+00,1.867218201824410e+00
4.880002087109800e+00,1.875273266115667e+00
4.993671938054911e+00,1.883438528374276e+00
5.109989499960641e+00,1.891715120295935e+00
5.229016445937955e+00,1.900104243361421e+00
5.350815885649121e+00,1.908607169404504e+00
5.475452398769280e+00,1.917225241206340e+00
5.602992069227447e+00,1.925959873117387e+00
